"X","Y","pH60_100cm","Terrain_Ruggedness_Index","AACN","Landsat_Band1","Elevation","Hillshading","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","TWI","Slope","residual","looResiduals"
339666.359,6368655.31,5.720317,5.473777,11.596649,48,123.035004,8.672894,1611.98926,0.425835,0.164008,-0.257143,13.28285,6.940272,-0.132735164783344,0.16475966698757
338729.15,6369699.1,9.080151,3.003327,12.559502,50,133.004196,3.560973,1657.56433,0.868195,1.332718,-0.171171,15.329131,3.265046,0.895486474499984,2.03347931548658
340084.8,6365190.5,6.65626,5.516599,37.471733,39,149.016006,5.991212,1687.22693,0.622146,0.502838,-0.230769,13.801155,5.246325,0.100821053649996,0.392321224245284
341616.1,6368228.34,6.750323,3.92212,15.400208,61,106.094498,6.078937,1621.27136,0.407289,0.886806,-0.205882,14.071564,5.210597,0.128160778233314,0.547856145548817
340986,6364421,8.228666,1.109026,47.181808,48,153.050507,0.902228,1722.79297,0.645583,0.043163,-0.185185,11.817113,0.94639,0.59284941161668,1.49885313595053
340825,6365081,6.008364,6.482784,75.616478,48,182.150803,3.313511,1743.44434,0.879902,0.053971,-0.236364,9.47328,4.243038,-0.160812593979378,-0.249869884606381
341589.447,6366678.56,7.77178,5.601067,46.962189,55,145.065796,8.980952,1630.96399,0.601361,0.188186,-0.183333,9.556923,7.165228,0.320988859583323,0.217375625518657
341129.131,6368589.34,4.918903,4.52722,32.340302,52,126.189301,3.976302,1753.0957,0.745644,0.10431,-0.178571,10.990019,5.45508,-0.526104620199992,-0.698344406799584
339037.427,6368811.35,6.5,3.462345,3.110527,55,123.689201,2.769753,1730.9585,0.943178,2.529718,-0.25,16.896933,2.815541,-0.271653806850013,-0.550779029559506
341014,6365722,6.381752,3.676834,26.24321,54,131.402802,4.980763,1697.0321,0.614013,0.182437,-0.230769,14.77046,4.499417,0.261261100233333,0.556048728012213
340288,6367658,6.908298,4.451716,20.520264,48,132.663803,5.506212,1629.57947,0.228196,0.236355,-0.157895,12.733744,5.627119,0.287767336183332,0.917942621552283
340196,6365131,5.145578,7.619373,29.235611,37,140.060501,1.381256,1729.91675,0.91598,1.93227,-0.428571,16.629539,1.536688,-0.700519719849992,-1.60994319176771
340145.169,6369972.21,5.200803,1.788412,2.290306,59,104.611298,2.112997,1686.42151,0.836474,2.130654,-0.169231,17.126751,2.025111,-0.295052783183334,-0.582800152846738
342857,6366618,6.127019,2.840369,23.271828,43,109.983704,2.234567,1673.68665,0.523711,0.096705,-0.290323,11.831315,2.140543,0.277735370633345,0.709302616575295
341169,6366031,9.249626,7.177464,57.644897,53,161.260498,4.128743,1777.06812,0.784462,0.015136,-0.265625,9.517021,5.784624,1.36934793843813,2.86755511160372
